Time,State,Pump 1 Voltage,Pump 2 Voltage
2102.771973,Idle,0,0
2103.37207,Idle,0,0
2103.971924,Idle,0,0
2104.572021,Idle,0,0
2105.172119,Idle,0,0
2105.771973,Idle,0,0
2106.37207,Idle,0,0
2106.971924,Idle,0,0
2107.572021,Idle,0,0
2108.172119,Idle,0,0
2108.771973,Idle,0,0
2109.37207,Idle,0,0
2109.971924,Idle,0,0
2110.572021,Idle,0,0
2111.172119,Idle,0,0
2111.771973,Idle,0,0
2112.37207,Idle,0,0
2112.971924,Idle,0,0
2113.572021,Idle,0,0
2114.172119,Idle,0,0
2114.771973,Idle,0,0
2115.37207,Idle,0,0
2115.971924,Idle,0,0
2116.572021,Idle,0,0
2117.172119,Idle,0,0
2117.771973,Idle,0,0
2118.37207,Idle,0,0
2118.971924,Idle,0,0
2119.572021,Idle,0,0
2120.172119,Idle,0,0
2120.771973,Idle,0,0
2121.37207,Idle,0,0
2121.971924,Idle,0,0
2122.572021,Idle,0,0
2123.172119,Idle,0,0
2123.771973,Idle,0,0
2124.37207,Idle,0,0
2124.971924,Idle,0,0
2125.572021,Idle,0,0
2126.172119,Idle,0,0
2126.771973,Idle,0,0
2127.37207,Idle,0,0
2127.971924,Idle,0,0
2128.572021,Idle,0,0
2129.172119,Idle,0,0
2129.771973,Idle,0,0
2130.37207,Idle,0,0
2130.971924,Idle,0,0
2131.572021,Idle,0,0
2132.172119,Idle,0,0
2132.771973,Idle,0,0
2133.37207,Idle,0,0
2133.971924,Idle,0,0
2134.572021,Idle,0,0
2135.172119,Idle,0,0
2135.771973,Idle,0,0
2136.37207,Idle,0,0
2136.971924,Idle,0,0
2137.572021,Idle,0,0
2138.172119,Idle,0,0
2138.771973,Idle,0,0
2139.37207,Idle,0,0
2139.971924,Idle,0,0
2140.572021,Idle,0,0
2141.172119,Idle,0,0
2141.771973,Idle,0,0
2142.37207,Idle,0,0
2142.971924,Idle,0,0
2143.572021,Idle,0,0
2144.172119,Idle,0,0
2144.771973,Idle,0,0
2145.37207,Idle,0,0
2145.971924,Idle,0,0
2146.572021,Idle,0,0
2147.172119,Idle,0,0
2147.771973,Idle,0,0
2148.37207,Idle,0,0
2148.971924,Idle,0,0
2149.572021,Idle,0,0
2150.172119,Idle,0,0
2150.771973,Idle,0,0
2151.37207,Idle,0,0
2151.971924,Idle,0,0
2152.572021,Idle,0,0
2153.172119,Idle,0,0
2153.771973,Idle,0,0
2154.37207,Idle,0,0
2154.971924,Idle,0,0
2155.572021,Idle,0,0
